ICD-10 Code,Description,Matters from an Anaesthesia perspective,"Suggested value on ""surgical"" CC lists",Comment
B482,Allescheriasis,No,,
B483,Geotrichosis,No,,
B484,Penicillosis,No,,
B487,Opportunistic mycoses,No,,
B488,Other specified mycoses,No,,
B49X,Unspecified mycosis,No,,
B500,Plasmodium falciparum malaria with cerebral complications,Yes,2,
B508,Other severe and complicated Plasmodium falciparum malaria,Yes,2,
B509,"Plasmodium falciparum malaria, unspecified",Yes,1,
B510,Plasmodium vivax malaria with rupture of spleen,Yes,1,
B518,Plasmodium vivax malaria with other complications,No,,
B519,Plasmodium vivax malaria without complication,No,,
B520,Plasmodium malariae malaria with nephropathy,Yes,1,
B528,Plasmodium malariae malaria with other complications,No,,
B529,Plasmodium malariae malaria without complication,No,,
B530,Plasmodium ovale malaria,No,,
B531,Malaria due to simian plasmodia,No,,
B538,"Other parasitologically confirmed malaria, not elsewhere classified",No,,
B54X,Unspecified malaria,No,,
B550,Visceral leishmaniasis,No,,
B551,Cutaneous leishmaniasis,No,,
B552,Mucocutaneous leishmaniasis,No,,
B559,"Leishmaniasis, unspecified",No,,
B560,Gambiense trypanosomiasis,No,,
B561,Rhodesiense trypanosomiasis,No,,
B569,"African trypanosomiasis, unspecified",No,,
B570,Acute Chagas disease with heart involvement,Yes,1,
B571,Acute Chagas disease without heart involvement,No,,
B572,Chagas disease (chronic) with heart involvement,Yes,1,
B573,Chagas disease (chronic) with digestive system involvement,No,,
B574,Chagas disease (chronic) with nervous system involvement,No,,
B575,Chagas disease (chronic) with other organ involvement,No,,
B580,Toxoplasma oculopathy,No,,
B581,Toxoplasma hepatitis,No,,
B582,Toxoplasma meningoencephalitis,Yes,1,
B583,Pulmonary toxoplasmosis,Yes,1,
B588,Toxoplasmosis with other organ involvement,No,,
B589,"Toxoplasmosis, unspecified",No,,
B59X,Pneumocystosis,Yes,1,
B600,Babesiosis,No,,
B601,Acanthamoebiasis,No,,
B602,Naegleriasis,Yes,1,
B608,Other specified protozoal diseases,No,,
B64X,Unspecified protozoal disease,No,,
B650,Schistosomiasis due to Schistosoma haematobium [urinary schistosomiasis],No,,
B651,Schistosomiasis due to Schistosoma mansoni [intestinal schistosomiasis],No,,
B652,Schistosomiasis due to Schistosoma japonicum,No,,
B653,Cercarial dermatitis,No,,
B658,Other schistosomiases,No,,
B659,"Schistosomiasis, unspecified",No,,
B660,Opisthorchiasis,No,,
B661,Clonorchiasis,No,,
B662,Dicrocoeliasis,No,,
B663,Fascioliasis,No,,
B664,Paragonimiasis,Yes,1,
B665,Fasciolopsiasis,No,,
B668,Other specified fluke infections,No,,
B669,"Fluke infection, unspecified",No,,
B670,Echinococcus granulosus infection of liver,No,,
B671,Echinococcus granulosus infection of lung,Yes,1,
B672,Echinococcus granulosus infection of bone,No,,
B673,"Echinococcus granulosus infection, other and multiple sites",No,,
B674,"Echinococcus granulosus infection, unspecified",No,,
B675,Echinococcus multilocularis infection of liver,No,,
B676,"Echinococcus multilocularis infection, other and multiple sites",No,,
B677,"Echinococcus multilocularis infection, unspecified",No,,
B678,"Echinococcosis, unspecified, of liver",No,,
B679,"Echinococcosis, other and unspecified",No,,
B680,Taenia solium taeniasis,No,,
B681,Taenia saginata taeniasis,No,,
B689,"Taeniasis, unspecified",No,,
B690,Cysticercosis of central nervous system,Yes,1,
B691,Cysticercosis of eye,No,,
B698,Cysticercosis of other sites,No,,
B699,"Cysticercosis, unspecified",No,,
B700,Diphyllobothriasis,No,,
B701,Sparganosis,No,,
B710,Hymenolepiasis,No,,
B711,Dipylidiasis,No,,
B718,Other specified cestode infections,No,,
B719,"Cestode infection, unspecified",No,,
B72X,Dracunculiasis,No,,
B73X,Onchocerciasis,No,,
B740,Filariasis due to Wuchereria bancrofti,No,,
B741,Filariasis due to Brugia malayi,No,,
B742,Filariasis due to Brugia timori,No,,
B743,Loiasis,No,,
B744,Mansonelliasis,No,,
B748,Other filariases,No,,
B749,"Filariasis, unspecified",No,,
B75X,Trichinellosis,No,,
B760,Ancylostomiasis,No,,
B761,Necatoriasis,No,,
B768,Other hookworm diseases,No,,
B769,"Hookworm disease, unspecified",No,,
B770,Ascariasis with intestinal complications,No,,
B778,Ascariasis with other complications,No,,
B779,"Ascariasis, unspecified",No,,
B780,Intestinal strongyloidiasis,No,,
B781,Cutaneous strongyloidiasis,No,,
B787,Disseminated strongyloidiasis,Yes,1,
B789,"Strongyloidiasis, unspecified",No,,
B79X,Trichuriasis,No,,
B80X,Enterobiasis,No,,
B810,Anisakiasis,No,,
B811,Intestinal capillariasis,No,,
B812,Trichostrongyliasis,No,,
B813,Intestinal angiostrongyliasis,No,,
B814,Mixed intestinal helminthiases,No,,
B818,Other specified intestinal helminthiases,No,,
B820,"Intestinal helminthiasis, unspecified",No,,
B829,"Intestinal parasitism, unspecified",No,,
B830,Visceral larva migrans,No,,
B831,Gnathostomiasis,No,,
B832,Angiostrongyliasis due to Parastrongylus cantonensis,Yes,1,
B833,Syngamiasis,Yes,2,Tracheal involvement
B834,Internal hirudiniasis,No,,
B838,Other specified helminthiases,No,,
B839,"Helminthiasis, unspecified",No,,
B850,Pediculosis due to Pediculus humanus capitis,No,,
B851,Pediculosis due to Pediculus humanus corporis,No,,
B852,"Pediculosis, unspecified",No,,
B853,Phthiriasis,No,,
B854,Mixed pediculosis and phthiriasis,No,,
B86X,Scabies,No,,
B870,Cutaneous myiasis,No,,
B871,Wound myiasis,No,,
B872,Ocular myiasis,No,,
B873,Nasopharyngeal myiasis,Yes,1,
B874,Aural myiasis,No,,
B878,Myiasis of other sites,No,,
B879,"Myiasis, unspecified",No,,
B880,Other acariasis,No,,
B881,Tungiasis [sandflea infestation],No,,
B882,Other arthropod infestations,No,,
B883,External hirudiniasis,Yes,1,If pharyngeal
B888,Other specified infestations,No,,
B889,"Infestation, unspecified",No,,
B89X,Unspecified parasitic disease,No,,
B900,Sequelae of central nervous system tuberculosis,Yes,1,
B901,Sequelae of genitourinary tuberculosis,No,,
B902,Sequelae of tuberculosis of bones and joints,No,,
B908,Sequelae of tuberculosis of other organs,No,,
B909,Sequelae of respiratory and unspecified tuberculosis,Yes,1,
B91X,Sequelae of poliomyelitis,Yes,1,
B92X,Sequelae of leprosy,Yes,1,
B940,Sequelae of trachoma,No,,
B941,Sequelae of viral encephalitis,No,,
B942,Sequelae of viral hepatitis,No,,
B948,Sequelae of other specified infectious and parasitic diseases,No,,
B949,Sequelae of unspecified infectious or parasitic disease,No,,
B950,"Streptococcus, group A, as the cause of diseases classified to other chapters",No,,
B951,"Streptococcus, group B, as the cause of diseases classified to other chapters",No,,
B952,Streptococcus group D and enterococcus as the cause of diseases classified to other chapters,No,,
B953,Streptococcus pneumoniae as the cause of diseases classified to other chapters,No,,
B954,Other streptococcus as the cause of diseases classified to other chapters,No,,
B955,Unspecified streptococcus as the cause of diseases classified to other chapters,No,,
B956,Staphylococcus aureus as the cause of diseases classified to other chapters,No,,
B957,Other staphylococcus as the cause of diseases classified to other chapters,No,,
B958,Unspecified staphylococcus as the cause of diseases classified to other chapters,No,,
B960,Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified to other chapters,Yes,1,
B961,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified to other chapters,No,,
B962,Escherichia coli [E. coli] as the cause of diseases classified to other chapters,No,,
B963,Haemophilus influenzae [H. influenzae] as the cause of diseases classified to other chapters,No,,
B964,Proteus (mirabilis)(morganii) as the cause of diseases classified to other chapters,No,,
B965,Pseudomonas (aeruginosa) as the cause of diseases classified to other chapters,No,,
B966,Bacillus fragilis [B. fragilis] as the cause of diseases classified to other chapters,No,,
B967,Clostridium perfringens [C. perfringens] as the cause of diseases classified to other chapters,No,,
B968,Other specified bacterial agents as the cause of diseases classified to other chapters,No,,
B970,Adenovirus as the cause of diseases classified to other chapters,No,,
B971,Enterovirus as the cause of diseases classified to other chapters,No,,
B972,Coronavirus as the cause of diseases classified to other chapters,Yes,1,AGP
B973,Retrovirus as the cause of diseases classified to other chapters,No,,
B974,Respiratory syncytial virus as the cause of diseases classified to other chapters,Yes,1,AGP
B975,Reovirus as the cause of diseases classified to other chapters,No,,
B976,Parvovirus as the cause of diseases classified to other chapters,No,,
B977,Papillomavirus as the cause of diseases classified to other chapters,No,,
B978,Other viral agents as the cause of diseases classified to other chapters,No,,
B980,Helicobacter pylori [H.pylori] as the cause of diseases classified to other chapters,No,,
B981,Vibrio vulnificus as the cause of diseases classified to other chapters,No,,
B99X,Other and unspecified infectious diseases,No,,
C000,Malignant neoplasm: External upper lip,Yes,1,Possible difficult intubation
C001,Malignant neoplasm: External lower lip,Yes,1,Possible difficult intubation
C002,"Malignant neoplasm: External lip, unspecified",Yes,1,Possible difficult intubation
C003,"Malignant neoplasm: Upper lip, inner aspect",Yes,1,Possible difficult intubation
C004,"Malignant neoplasm: Lower lip, inner aspect",Yes,1,Possible difficult intubation
C005,"Malignant neoplasm: Lip, unspecified, inner aspect",Yes,1,Possible difficult intubation
C006,Malignant neoplasm: Commissure of lip,Yes,1,Possible difficult intubation
C008,Malignant neoplasm: Overlapping lesion of lip,Yes,1,Possible difficult intubation
C009,"Malignant neoplasm: Lip, unspecified",Yes,1,Possible difficult intubation
C01X,Malignant neoplasm of base of tongue,Yes,1,Possible difficult intubation
C020,Malignant neoplasm: Dorsal surface of tongue,Yes,1,Possible difficult intubation
C021,Malignant neoplasm: Border of tongue,Yes,1,Possible difficult intubation
C022,Malignant neoplasm: Ventral surface of tongue,Yes,1,Possible difficult intubation
C023,"Malignant neoplasm: Anterior two-thirds of tongue, part unspecified",Yes,1,Possible difficult intubation
C024,Malignant neoplasm: Lingual tonsil,Yes,1,Possible difficult intubation
C028,Malignant neoplasm: Overlapping lesion of tongue,Yes,1,Possible difficult intubation
C029,"Malignant neoplasm: Tongue, unspecified",Yes,1,Possible difficult intubation
C030,Malignant neoplasm: Upper gum,Yes,1,Possible difficult intubation
C031,Malignant neoplasm: Lower gum,Yes,1,Possible difficult intubation
C039,"Malignant neoplasm: Gum, unspecified",Yes,1,Possible difficult intubation
C040,Malignant neoplasm: Anterior floor of mouth,Yes,1,Possible difficult intubation
C041,Malignant neoplasm: Lateral floor of mouth,Yes,1,Possible difficult intubation
C048,Malignant neoplasm: Overlapping lesion of floor of mouth,Yes,1,Possible difficult intubation
C049,"Malignant neoplasm: Floor of mouth, unspecified",Yes,1,Possible difficult intubation
C050,Malignant neoplasm: Hard palate,Yes,1,Possible difficult intubation
C051,Malignant neoplasm: Soft palate,Yes,1,Possible difficult intubation
C052,Malignant neoplasm: Uvula,Yes,1,Possible difficult intubation
C058,Malignant neoplasm: Overlapping lesion of palate,Yes,1,Possible difficult intubation
C059,"Malignant neoplasm: Palate, unspecified",Yes,1,Possible difficult intubation
C060,Malignant neoplasm: Cheek mucosa,Yes,1,Possible difficult intubation
C061,Malignant neoplasm: Vestibule of mouth,Yes,1,Possible difficult intubation
C062,Malignant neoplasm: Retromolar area,Yes,1,Possible difficult intubation
C068,Malignant neoplasm: Overlapping lesion of other and unspecified parts of mouth,Yes,1,Possible difficult intubation
C069,"Malignant neoplasm: Mouth, unspecified",Yes,1,Possible difficult intubation
C07X,Malignant neoplasm of parotid gland,Yes,1,Possible difficult intubation
C080,Malignant neoplasm: Submandibular gland,Yes,1,Possible difficult intubation
C081,Malignant neoplasm: Sublingual gland,Yes,1,Possible difficult intubation
C088,Malignant neoplasm: Overlapping lesion of major salivary glands,Yes,1,Possible difficult intubation
C089,"Malignant neoplasm: Major salivary gland, unspecified",Yes,1,Possible difficult intubation
C090,Malignant neoplasm: Tonsillar fossa,Yes,1,Possible difficult intubation
C091,Malignant neoplasm: Tonsillar pillar (anterior)(posterior),Yes,1,Possible difficult intubation
C098,Malignant neoplasm: Overlapping lesion of tonsil,Yes,1,Possible difficult intubation
C099,"Malignant neoplasm: Tonsil, unspecified",Yes,1,Possible difficult intubation
C100,Malignant neoplasm: Vallecula,Yes,1,Possible difficult intubation
C101,Malignant neoplasm: Anterior surface of epiglottis,Yes,1,Possible difficult intubation
C102,Malignant neoplasm: Lateral wall of oropharynx,Yes,1,Possible difficult intubation
C103,Malignant neoplasm: Posterior wall of oropharynx,Yes,1,Possible difficult intubation
C104,Malignant neoplasm: Branchial cleft,Yes,1,Possible difficult intubation
C108,Malignant neoplasm: Overlapping lesion of oropharynx,Yes,1,Possible difficult intubation
C109,"Malignant neoplasm: Oropharynx, unspecified",Yes,1,Possible difficult intubation
C110,Malignant neoplasm: Superior wall of nasopharynx,No,,
C111,Malignant neoplasm: Posterior wall of nasopharynx,No,,
C112,Malignant neoplasm: Lateral wall of nasopharynx,No,,
C113,Malignant neoplasm: Anterior wall of nasopharynx,No,,
C118,Malignant neoplasm: Overlapping lesion of nasopharynx,No,,
C119,"Malignant neoplasm: Nasopharynx, unspecified",No,,
C12X,Malignant neoplasm of piriform sinus,Yes,1,Possible difficult intubation
C130,Malignant neoplasm: Postcricoid region,Yes,1,Possible difficult intubation
C131,"Malignant neoplasm: Aryepiglottic fold, hypopharyngeal aspect",Yes,1,Possible difficult intubation
C132,Malignant neoplasm: Posterior wall of hypopharynx,Yes,1,Possible difficult intubation
C138,Malignant neoplasm: Overlapping lesion of hypopharynx,Yes,1,Possible difficult intubation
C139,"Malignant neoplasm: Hypopharynx, unspecified",Yes,1,Possible difficult intubation
C140,"Malignant neoplasm: Pharynx, unspecified",Yes,1,Possible difficult intubation
C142,Malignant neoplasm: Waldeyer ring,Yes,1,Possible difficult intubation
C148,"Malignant neoplasm: Overlapping lesion of lip, oral cavity and pharynx",Yes,1,Possible difficult intubation
C150,Malignant neoplasm: Cervical part of oesophagus,Yes,2,Complex anaesthesia
C151,Malignant neoplasm: Thoracic part of oesophagus,Yes,2,Complex anaesthesia
C152,Malignant neoplasm: Abdominal part of oesophagus,Yes,2,Complex anaesthesia
C153,Malignant neoplasm: Upper third of oesophagus,Yes,2,Complex anaesthesia
C154,Malignant neoplasm: Middle third of oesophagus,Yes,2,Complex anaesthesia
C155,Malignant neoplasm: Lower third of oesophagus,Yes,2,Complex anaesthesia
C158,Malignant neoplasm: Overlapping lesion of oesophagus,Yes,2,Complex anaesthesia
C159,"Malignant neoplasm: Oesophagus, unspecified",Yes,2,Complex anaesthesia
C160,Malignant neoplasm: Cardia,No,,
C161,Malignant neoplasm: Fundus of stomach,No,,
C162,Malignant neoplasm: Body of stomach,No,,
C163,Malignant neoplasm: Pyloric antrum,No,,
C164,Malignant neoplasm: Pylorus,No,,
C165,"Malignant neoplasm: Lesser curvature of stomach, unspecified",No,,
C166,"Malignant neoplasm: Greater curvature of stomach, unspecified",No,,
C168,Malignant neoplasm: Overlapping lesion of stomach,No,,
C169,"Malignant neoplasm: Stomach, unspecified",No,,
C170,Malignant neoplasm: Duodenum,No,,
C171,Malignant neoplasm: Jejunum,No,,
C172,Malignant neoplasm: Ileum,No,,
C173,Malignant neoplasm: Meckel diverticulum,No,,
C178,Malignant neoplasm: Overlapping lesion of small intestine,No,,
C179,"Malignant neoplasm: Small intestine, unspecified",No,,
C180,Malignant neoplasm: Caecum,No,,
C181,Malignant neoplasm: Appendix,No,,
C182,Malignant neoplasm: Ascending colon,No,,
C183,Malignant neoplasm: Hepatic flexure,No,,
C184,Malignant neoplasm: Transverse colon,No,,
C185,Malignant neoplasm: Splenic flexure,No,,
C186,Malignant neoplasm: Descending colon,No,,
C187,Malignant neoplasm: Sigmoid colon,No,,
C188,Malignant neoplasm: Overlapping lesion of colon,No,,
C189,"Malignant neoplasm: Colon, unspecified",No,,
C19X,Malignant neoplasm of rectosigmoid junction,No,,
C20X,Malignant neoplasm of rectum,No,,
C210,"Malignant neoplasm: Anus, unspecified",No,,
C211,Malignant neoplasm: Anal canal,No,,
C212,Malignant neoplasm: Cloacogenic zone,No,,
C218,"Malignant neoplasm: Overlapping lesion of rectum, anus and anal canal",No,,
C220,Malignant neoplasm: Liver cell carcinoma,No,,
C221,Malignant neoplasm: Intrahepatic bile duct carcinoma,No,,
C222,Malignant neoplasm: Hepatoblastoma,No,,
C223,Malignant neoplasm: Angiosarcoma of liver,No,,
C224,Malignant neoplasm: Other sarcomas of liver,No,,
